Feature Index,Mean_Absolute_Importance,Std_Absolute_Importance,True_Stable_Rank
35,50.443353,40.009380,226
939,50.350890,2.841562,227
909,50.310235,2.836015,228
771,49.500321,2.464412,229
783,49.396336,2.487914,230
228,48.281271,29.674757,231
184,48.157534,10.567243,232
248,48.147638,29.646737,233
194,48.081264,10.450789,234
139,48.059144,43.447480,235
141,48.024351,43.451345,236
549,47.687372,3.451375,237
515,47.437155,3.498152,238
126,47.258062,35.408080,239
154,47.229763,35.377519,240
118,47.023290,24.683895,241
162,46.987670,24.632892,242
776,46.821897,1.912111,243
778,46.805835,1.922151,244
917,46.802421,2.695521,245
931,46.750900,2.750599,246
624,46.696311,9.013293,247
636,46.590872,8.987822,248
353,46.486785,18.661139,249
319,46.332305,18.642185,250
110,46.097437,19.973200,251
313,45.874430,22.940819,252
72,45.838747,19.958588,253
359,45.775319,22.961657,254
30,45.522369,23.890921,255
54,45.438178,23.967904,256
385,45.248821,7.276822,257
119,45.232124,30.190757,258
161,45.210177,30.177555,259
1057,44.800832,7.071553,260
957,44.483106,2.586311,261
266,44.454302,4.864267,262
308,44.439514,4.801731,263
989,44.438192,2.592475,264
255,44.206309,26.154905,265
375,44.204435,10.417967,266
395,44.197591,10.310798,267
221,44.146618,26.135615,268
972,43.993318,4.015656,269
974,43.965774,4.045901,270
988,42.981610,3.409381,271
155,42.898019,31.693579,272
125,42.879024,31.723636,273
958,42.822656,3.401446,274
369,42.621615,14.382763,275
401,42.388382,14.285227,276
786,41.432011,2.377552,277
768,41.385466,2.371099,278
135,41.227814,14.162954,279
145,41.212367,14.111864,280
665,40.339352,1.189837,281
19,40.312137,34.716221,282
65,40.209411,34.714494,283
561,40.115108,5.839813,284
693,40.114724,1.183176,285
601,40.033967,5.854787,286
148,39.533899,20.341514,287
132,39.407048,20.225607,288
363,39.110884,14.671647,289
407,39.106126,14.545609,290
438,38.721675,19.606937,291
430,38.661610,19.540095,292
160,38.614797,31.519507,293
120,38.563749,31.397354,294
61,38.444910,29.002513,295
23,38.353164,28.824695,296
156,38.214091,24.324819,297
124,38.198010,24.245698,298
678,37.607181,2.390057,299
52,37.595801,6.235591,300
32,37.543942,6.040357,301
38,37.537408,6.165410,302
46,37.341141,5.931429,303
197,37.187580,20.218882,304
181,37.086283,20.151204,305
265,36.999780,3.876911,306
666,36.819790,1.062487,307
575,36.796318,7.616582,308
587,36.778309,7.765385,309
789,36.765821,1.889043,310
765,36.738025,1.878346,311
309,36.642070,3.879067,312
692,36.536882,0.950166,313
680,36.474815,2.421939,314
76,35.880725,25.153350,315
106,35.858190,25.226094,316
121,35.658019,21.273289,317
159,35.526441,21.194116,318
41,35.358204,28.693449,319
43,35.327839,29.289627,320
198,35.270611,12.926864,321
180,35.133736,12.919319,322
922,35.015607,2.267002,323
926,34.913574,2.401568,324
267,34.856477,3.978548,325
774,34.728401,1.511484,326
780,34.699168,1.447461,327
1078,34.530227,7.429078,328
968,34.407140,2.379503,329
294,34.392469,6.373859,330
229,34.378028,12.793799,331
189,34.375269,31.220682,332
978,34.370061,2.377568,333
340,34.369798,25.633511,334
332,34.340144,25.547259,335
630,34.328338,7.426195,336
1068,34.313965,10.263361,337
247,34.306903,12.752263,338
532,34.288036,10.187679,339
535,34.196508,3.569566,340
529,34.168446,3.545273,341
423,33.996964,14.236024,342
280,33.881273,6.227571,343
445,33.791397,14.261103,344
307,33.040659,4.065147,345
714,33.025310,2.230747,346
743,32.942720,1.973513,347
713,32.887273,1.957114,348
742,32.812951,2.241882,349
288,32.759738,9.946128,350
286,32.708114,9.993950,351
773,32.580627,1.180293,352
781,32.528187,1.197158,353
27,32.384407,19.382395,354
769,32.354358,2.534348,355
785,32.322818,2.526973,356
770,32.309884,2.427192,357
784,32.295278,2.414429,358
595,32.290223,10.117644,359
567,32.252858,10.062067,360
615,32.196723,8.469507,361
57,32.174710,19.520269,362
645,32.092022,8.451111,363
905,32.080216,0.956947,364
943,32.074311,0.956652,365
944,31.721766,1.367200,366
611,31.666497,3.923147,367
649,31.615365,3.899927,368
904,31.598361,1.403754,369
890,31.439389,1.095944,370
860,31.412036,1.112016,371
790,30.789686,2.874432,372
764,30.760124,2.878414,373
979,30.627609,2.690575,374
967,30.576761,2.703095,375
963,30.566807,1.978606,376
983,30.498717,1.991039,377
279,30.394173,4.995185,378
658,30.353822,0.956194,379
700,30.201819,0.953966,380
295,29.864227,5.145965,381
457,29.813152,19.707303,382
411,29.789363,19.812678,383
250,29.773423,15.269014,384
226,29.713217,15.159828,385
980,28.993229,3.720453,386
966,28.917048,3.730361,387
664,28.877366,0.996537,388
403,28.809853,2.331486,389
367,28.699710,2.248637,390
699,28.463108,0.789339,391
976,28.460942,2.157264,392
970,28.439348,2.130779,393
883,28.409970,0.868067,394
867,28.388537,0.853846,395
921,28.217244,1.583577,396
884,28.107738,0.651186,397
927,28.082980,1.715646,398
602,28.062073,6.922109,399
560,28.001282,6.937902,400
866,27.939026,0.654730,401
694,27.934160,0.895848,402
15,27.849350,1.360239,403
129,27.726615,8.229724,404
659,27.587257,0.799607,405
75,27.520495,20.294355,406
151,27.512381,8.227265,407
107,27.393772,20.270360,408
79,27.356429,19.719989,409
103,27.178992,19.745901,410
223,27.107219,1.675654,411
642,27.092909,6.447467,412
618,27.013143,6.439827,413
232,26.931147,18.607814,414
737,26.926901,1.388672,415
719,26.921951,1.359849,416
482,26.815670,3.573192,417
293,26.795618,5.127811,418
712,26.785178,1.385227,419
