Feature Index,Mean_Absolute_Importance,Std_Absolute_Importance,True_Stable_Rank
492,19.618542,0.535771,226
586,19.398207,2.268749,227
576,19.337804,2.274668,228
20,19.179737,0.794691,229
64,19.131962,0.823274,230
510,19.092287,0.401152,231
554,19.051905,0.407450,232
141,19.013512,1.887559,233
139,19.011450,1.885126,234
564,18.900373,1.784549,235
598,18.889513,1.783977,236
237,18.824241,1.033000,237
239,18.822510,1.035162,238
134,18.721457,1.801871,239
146,18.717155,1.799541,240
854,18.566910,0.457510,241
896,18.549877,0.458519,242
135,18.312305,0.816263,243
145,18.310960,0.816196,244
188,18.238865,1.939778,245
190,18.209399,1.936627,246
677,17.693373,0.336207,247
460,17.637699,2.143599,248
506,17.609088,2.135271,249
681,17.608002,0.338963,250
302,17.184890,11.151996,251
272,17.143858,11.139011,252
345,17.064737,1.204467,253
327,16.998125,1.219115,254
470,16.946220,2.550148,255
364,16.929131,6.094008,256
496,16.891831,2.546638,257
406,16.886292,6.078453,258
680,16.775572,0.428887,259
678,16.725635,0.431049,260
97,16.611208,1.919067,261
85,16.592255,1.926224,262
579,16.552085,2.845334,263
583,16.455717,2.857822,264
498,16.019634,2.435512,265
468,15.984240,2.443556,266
338,15.868122,1.508129,267
794,15.649331,0.443615,268
431,15.646631,1.538774,269
1,15.626476,0.590156,270
127,15.620644,0.839662,271
153,15.604937,0.829179,272
334,15.603876,1.510064,273
760,15.603799,0.447507,274
882,15.596831,0.612333,275
147,15.591979,1.913079,276
868,15.591394,0.613299,277
437,15.587719,1.538624,278
133,15.583779,1.909045,279
775,15.454573,1.234363,280
779,15.438643,1.236368,281
132,15.398315,1.342209,282
148,15.390717,1.343328,283
490,15.204615,0.882001,284
476,15.190875,0.882041,285
840,15.115633,0.150812,286
812,15.088880,0.159169,287
59,14.858054,0.464373,288
25,14.839750,0.453480,289
399,14.789638,10.446219,290
371,14.753862,10.382425,291
149,14.598784,0.597015,292
131,14.589173,0.593918,293
811,14.562875,0.190017,294
841,14.509694,0.188480,295
853,14.508492,0.261525,296
656,14.482438,0.403684,297
702,14.453813,0.400962,298
897,14.444041,0.260953,299
608,14.375939,0.490617,300
652,14.371697,0.489955,301
176,14.351247,1.316897,302
202,14.349219,1.314727,303
513,14.226976,0.393035,304
551,14.214100,0.392102,305
65,14.190908,0.428519,306
19,14.172549,0.434964,307
430,14.165439,1.425318,308
469,14.148890,2.947628,309
497,14.135305,2.949506,310
438,14.112357,1.413636,311
609,14.011624,0.428979,312
415,13.955630,1.380911,313
651,13.935636,0.431433,314
453,13.888452,1.379904,315
332,13.843074,1.680596,316
340,13.839510,1.687744,317
519,13.684260,0.828548,318
545,13.671006,0.836801,319
895,13.570757,0.469235,320
855,13.561026,0.467511,321
881,13.408884,0.529321,322
869,13.402812,0.528422,323
822,13.390349,0.141600,324
315,13.341677,1.176961,325
357,13.333414,1.172923,326
830,13.293520,0.149913,327
867,13.204652,0.509850,328
883,13.192814,0.505036,329
240,13.019644,0.646713,330
815,12.969633,0.114486,331
236,12.957084,0.645752,332
448,12.951774,2.791560,333
837,12.932418,0.118423,334
420,12.914767,2.790422,335
247,12.785770,0.597502,336
229,12.758193,0.594480,337
297,12.559324,4.527453,338
544,12.532905,0.776150,339
520,12.515395,0.776380,340
45,12.482801,0.508615,341
39,12.464071,0.521179,342
466,12.461588,0.394269,343
500,12.448989,0.394636,344
689,12.274065,0.150977,345
669,12.240303,0.150413,346
125,12.168645,0.614398,347
593,12.166332,1.279302,348
155,12.159569,0.609256,349
277,12.140775,4.501590,350
2,12.122868,0.495290,351
342,12.085090,1.683266,352
569,12.033172,1.289563,353
246,11.997827,0.647852,354
230,11.965034,0.653244,355
330,11.923903,1.689989,356
819,11.919128,0.194188,357
833,11.906818,0.194316,358
175,11.875038,1.157097,359
203,11.872737,1.147967,360
916,11.810367,0.113450,361
311,11.779597,3.474911,362
458,11.760297,0.692346,363
263,11.759030,3.473160,364
932,11.753075,0.105250,365
410,11.742479,0.694250,366
1023,11.737509,0.071172,367
1021,11.714527,0.074390,368
675,11.705612,0.171730,369
683,11.685405,0.171623,370
676,11.262310,0.148677,371
682,11.252184,0.147244,372
471,11.163305,1.480395,373
495,11.153914,1.480129,374
93,10.994851,1.110533,375
89,10.990993,1.099302,376
251,10.968229,0.795659,377
225,10.962245,0.796073,378
610,10.958880,0.310328,379
440,10.953684,3.218353,380
650,10.937183,0.306300,381
428,10.902064,3.215215,382
922,10.880764,0.109833,383
1030,10.871619,0.087449,384
1014,10.869206,0.089864,385
926,10.831408,0.110601,386
367,10.798770,3.962437,387
86,10.796934,1.037379,388
403,10.793998,3.958365,389
96,10.784398,1.040329,390
21,10.757072,0.487462,391
63,10.740863,0.494714,392
938,10.705353,0.170985,393
842,10.693103,0.150044,394
910,10.691517,0.167195,395
810,10.669917,0.149128,396
729,10.613695,0.366659,397
727,10.601583,0.361850,398
321,10.581773,1.054863,399
509,10.567772,0.262942,400
271,10.557634,8.301765,401
303,10.557555,8.303912,402
351,10.515021,1.056766,403
473,10.501874,0.229406,404
555,10.473147,0.265184,405
493,10.472431,0.229487,406
823,10.457053,0.126945,407
829,10.434854,0.136102,408
138,10.404976,0.861360,409
142,10.385524,0.852302,410
181,10.364476,1.165734,411
99,10.350963,1.554600,412
197,10.336086,1.160863,413
807,10.334095,0.115599,414
735,10.322825,0.299690,415
721,10.297878,0.295656,416
845,10.296825,0.114622,417
83,10.283294,1.547873,418
690,10.154202,0.216520,419
668,10.153785,0.203771,420
14,10.078577,0.232181,421
527,10.010623,0.663918,422
537,9.999051,0.662133,423
944,9.946838,0.088982,424
570,9.930251,1.773408,425
904,9.920133,0.093466,426
337,9.914488,1.412231,427
592,9.907034,1.767760,428
946,9.894192,0.058532,429
827,9.887707,0.165927,430
902,9.879248,0.052721,431
825,9.854309,0.167068,432
335,9.824685,1.414455,433
252,9.780371,0.772454,434
643,9.763497,0.340096,435
224,9.741170,0.768436,436
152,9.716687,0.436555,437
128,9.704844,0.441750,438
627,9.676992,0.447204,439
696,9.674774,0.147648,440
633,9.669606,0.442260,441
874,9.630365,0.505347,442
876,9.624179,0.504459,443
662,9.619754,0.157425,444
903,9.605605,0.085759,445
617,9.591170,0.343589,446
945,9.559186,0.087196,447
634,9.494887,0.375167,448
626,9.493266,0.373672,449
365,9.420984,4.499532,450
405,9.362045,4.484631,451
734,9.312814,0.416768,452
722,9.274999,0.415396,453
661,9.207745,0.155689,454
697,9.196451,0.151190,455
489,9.186675,0.783482,456
477,9.160252,0.789905,457
839,9.061937,0.133238,458
918,9.033101,0.208073,459
813,9.027232,0.130241,460
930,9.011421,0.205245,461
966,8.969591,0.186438,462
980,8.966832,0.188113,463
587,8.796122,0.836069,464
818,8.771914,0.213546,465
291,8.741742,4.454422,466
808,8.732525,0.052463,467
607,8.715822,0.323486,468
319,8.712442,0.582613,469
653,8.703627,0.326751,470
834,8.701708,0.209601,471
283,8.683137,4.451682,472
353,8.665155,0.581357,473
1029,8.662842,0.087225,474
844,8.648001,0.057879,475
1015,8.628707,0.089872,476
575,8.615773,0.853356,477
233,8.468363,0.443862,478
243,8.444734,0.440149,479
679,8.396129,0.222283,480
824,8.395478,0.132126,481
828,8.364874,0.131980,482
1079,8.352320,0.225652,483
820,8.248232,0.122694,484
618,8.230498,0.337526,485
788,8.209308,0.573127,486
832,8.175424,0.124933,487
766,8.156540,0.569730,488
642,8.076076,0.332833,489
933,8.047597,0.078631,490
915,8.024294,0.074810,491
836,7.941132,0.097874,492
640,7.885233,0.420537,493
620,7.856388,0.421395,494
816,7.828270,0.097336,495
360,7.798810,0.282077,496
630,7.769214,0.302048,497
312,7.697278,0.282037,498
1078,7.689578,0.282480,499
1095,7.647627,0.289411,500
875,7.599189,0.288820,501
538,7.587345,0.715670,502
526,7.582785,0.702244,503
870,7.535857,0.289675,504
880,7.527121,0.290321,505
758,7.495472,0.213475,506
796,7.473390,0.209898,507
548,7.378762,0.420546,508
790,7.364842,0.422238,509
516,7.273220,0.434279,510
764,7.265213,0.415742,511
835,7.216440,0.160980,512
817,7.191449,0.163280,513
890,7.088512,0.491881,514
860,7.081870,0.492559,515
1007,6.984816,0.070673,516
1037,6.883746,0.059721,517
507,6.868053,0.491138,518
459,6.847043,0.489688,519
744,6.840745,0.193591,520
712,6.795361,0.195998,521
726,6.747909,0.284151,522
730,6.734590,0.286810,523
156,6.677950,0.259802,524
124,6.657198,0.262622,525
973,6.568815,0.106519,526
1105,6.566485,0.109970,527
104,6.498967,0.994679,528
78,6.496215,0.996496,529
611,6.402153,0.223165,530
649,6.385886,0.225443,531
298,6.371487,3.745127,532
861,6.364160,0.731658,533
889,6.343955,0.727684,534
276,6.340193,3.724579,535
641,6.314946,0.264082,536
594,6.302925,0.589724,537
728,6.274608,0.221256,538
866,6.273347,0.262314,539
884,6.272064,0.258302,540
318,6.251925,0.558728,541
619,6.251514,0.270910,542
126,6.247369,0.888564,543
423,6.244362,1.297390,544
154,6.236426,0.889452,545
354,6.227140,0.558438,546
894,6.208711,0.265058,547
856,6.198032,0.264294,548
1084,6.196930,0.221065,549
1110,6.145665,0.069046,550
304,6.137887,3.221979,551
568,6.125675,0.589980,552
341,6.080978,1.701832,553
898,6.075528,0.082183,554
1022,6.048787,0.068337,555
852,6.047771,0.086037,556
947,6.047391,0.027991,557
901,6.040375,0.028782,558
270,6.034091,3.225151,559
445,5.990550,1.285743,560
331,5.960451,1.696314,561
222,5.958365,0.327741,562
254,5.953623,0.322593,563
616,5.925168,0.501322,564
223,5.897339,0.400418,565
644,5.883943,0.517937,566
615,5.854251,0.626542,567
253,5.830799,0.405821,568
645,5.772327,0.626177,569
316,5.750444,1.617234,570
356,5.732284,1.620657,571
806,5.722181,0.135030,572
846,5.721319,0.137990,573
1094,5.708575,0.109862,574
826,5.681025,0.099349,575
540,5.616075,0.352109,576
905,5.590310,0.046949,577
524,5.580457,0.353712,578
943,5.576293,0.055247,579
909,5.378220,0.118490,580
647,5.377225,0.249276,581
939,5.340640,0.120824,582
613,5.339223,0.249931,583
1042,5.311877,0.033801,584
547,5.309639,0.488501,585
572,5.297829,2.187611,586
636,5.294954,0.259811,587
590,5.293928,2.191190,588
366,5.251356,3.344330,589
184,5.244432,0.617621,590
194,5.235501,0.614962,591
723,5.234607,0.347148,592
733,5.233297,0.351576,593
1002,5.217702,0.041777,594
36,5.207345,0.771766,595
517,5.204264,0.499398,596
596,5.202268,0.704498,597
404,5.142323,3.321485,598
48,5.098668,0.768812,599
624,5.092950,0.256395,600
566,5.088335,0.710084,601
482,5.085073,0.567772,602
768,5.050511,1.040451,603
50,5.033239,0.786685,604
484,5.031460,0.560967,605
582,4.988938,1.090673,606
786,4.985656,1.040212,607
144,4.949713,0.157216,608
136,4.947278,0.159979,609
187,4.900419,0.731397,610
481,4.897766,0.437621,611
964,4.894106,0.200910,612
982,4.890970,0.202999,613
191,4.873191,0.728724,614
465,4.872316,0.560998,615
501,4.832249,0.564076,616
580,4.830433,1.097894,617
533,4.802221,0.459103,618
745,4.782180,0.093150,619
525,4.771139,0.531206,620
1186,4.770040,0.065852,621
711,4.756043,0.093182,622
485,4.752055,0.436868,623
34,4.743354,0.758807,624
531,4.681177,0.462004,625
967,4.655663,0.230330,626
521,4.648815,0.313009,627
543,4.644405,0.312106,628
987,4.614906,0.120347,629
979,4.601867,0.227603,630
959,4.601252,0.118939,631
